iter	Passed	Remaining
0	1	117
1	2	102
2	2	94
3	3	85
4	4	82
5	5	80
6	6	83
7	7	83
8	8	82
9	9	81
10	9	80
11	10	79
12	11	78
13	12	78
14	13	77
15	14	76
16	15	74
17	15	72
18	16	72
19	17	71
20	18	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	24	64
28	25	63
29	26	62
30	27	61
31	28	61
32	29	59
33	30	58
34	31	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	52
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	65	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
