iter	Passed	Remaining
0	183	183813
1	197	98704
2	211	70161
3	220	54961
4	226	44978
5	227	37754
6	229	32543
7	230	28626
8	234	25861
9	236	23439
10	238	21435
11	239	19744
12	240	18294
13	242	17056
14	243	15976
15	244	15049
16	246	14225
17	255	13923
18	256	13247
19	258	12650
20	259	12085
21	261	11632
22	281	11957
23	284	11566
24	290	11341
25	292	10967
26	300	10836
27	304	10587
28	305	10245
29	306	9921
30	307	9615
31	308	9330
32	312	9163
33	314	8941
34	320	8841
35	321	8618
36	322	8399
37	323	8190
38	324	7993
39	330	7931
40	331	7750
41	332	7582
42	333	7415
43	336	7319
44	338	7179
45	339	7048
46	343	6963
47	344	6830
48	345	6699
49	346	6575
50	346	6453
51	347	6338
52	348	6224
53	354	6217
54	356	6125
55	357	6026
56	358	5933
57	360	5857
58	361	5765
59	362	5675
60	371	5715
61	372	5641
62	374	5568
63	375	5488
64	376	5409
65	378	5350
66	386	5386
67	390	5349
68	391	5285
69	393	5223
70	399	5228
71	403	5195
72	405	5146
73	406	5086
74	407	5028
75	422	5134
76	439	5267
77	452	5345
78	454	5300
79	462	5320
80	466	5297
81	469	5260
82	471	5203
83	485	5292
84	488	5262
85	502	5341
86	504	5290
87	506	5244
88	508	5201
89	510	5160
90	516	5164
91	523	5161
92	524	5113
93	525	5068
94	532	5072
95	534	5033
96	538	5009
97	540	4973
98	541	4929
99	544	4896
100	568	5064
101	578	5089
102	589	5132
103	592	5101
104	593	5060
105	606	5118
106	608	5082
107	620	5125
108	690	5640
109	693	5610
110	707	5664
111	716	5680
112	728	5717
113	731	5688
114	739	5690
115	754	5753
116	757	5720
117	760	5685
118	763	5651
119	776	5692
120	780	5668
121	792	5701
122	794	5663
123	795	5622
124	824	5769
125	827	5737
126	833	5726
127	836	5697
128	839	5664
129	841	5634
130	843	5598
131	852	5607
132	854	5571
133	871	5632
134	873	5595
135	883	5611
136	885	5578
137	887	5544
138	906	5615
139	911	5599
140	919	5598
141	919	5557
142	924	5540
143	933	5551
144	936	5522
145	938	5489
146	939	5453
147	941	5418
148	942	5382
149	943	5348
150	951	5347
151	954	5322
152	955	5290
153	968	5318
154	989	5392
155	992	5367
156	1000	5369
157	1001	5336
158	1007	5330
159	1014	5325
160	1015	5290
161	1017	5260
162	1023	5255
163	1031	5259
164	1035	5238
165	1039	5223
166	1052	5247
167	1054	5221
168	1063	5231
169	1069	5223
170	1079	5234
171	1082	5208
172	1084	5186
173	1087	5160
174	1094	5158
175	1095	5130
176	1097	5101
177	1100	5080
178	1102	5056
179	1108	5051
180	1111	5029
181	1113	5003
182	1115	4980
183	1117	4956
184	1123	4950
185	1138	4980
186	1142	4968
187	1149	4964
188	1154	4955
189	1158	4940
190	1160	4914
191	1161	4889
192	1163	4863
193	1164	4838
194	1169	4828
195	1171	4806
196	1179	4807
197	1184	4799
198	1187	4779
199	1189	4756
200	1192	4740
201	1209	4776
202	1225	4809
203	1227	4790
204	1240	4810
205	1243	4793
206	1250	4791
207	1255	4779
208	1260	4771
209	1271	4782
210	1273	4760
211	1274	4737
212	1281	4733
213	1285	4720
214	1287	4700
215	1289	4680
216	1306	4714
217	1318	4729
218	1319	4706
219	1322	4688
220	1323	4666
221	1349	4730
222	1350	4706
223	1352	4684
224	1353	4663
225	1355	4641
226	1364	4644
227	1365	4623
228	1367	4602
229	1368	4580
230	1369	4558
231	1370	4536
232	1386	4562
233	1387	4541
234	1389	4522
235	1390	4501
236	1391	4481
237	1401	4488
238	1405	4476
239	1407	4455
240	1419	4470
241	1421	4453
242	1423	4433
243	1424	4413
244	1430	4407
245	1432	4391
246	1435	4375
247	1437	4358
248	1438	4338
